,TI,AB,CARP (Yes/No),Exact/Lower-Bounds,Heuristics,Evolutionary,Variant,Alt_variant,Investigate,Comments,Source
"ZACHARIADIS EE, 2011, EUR J OPER RES",LOCAL SEARCH FOR THE UNDIRECTED CAPACITATED ARC ROUTING PROBLEM WITH PROFITS,"THIS PAPER DEALS WITH A RECENTLY INTRODUCED ROUTING PROBLEM VARIANT CALLED THE UNDIRECTED CAPACITATED ARC ROUTING PROBLEM WITH PROFITS (UCARPP). THE UCARPP MODEL CONSIDERED IN THE PRESENT STUDY IS PRIMARILY AIMED AT GENERATING THE ROUTE SET WHICH MAXIMIZES THE PROFIT COLLECTED FROM A SET OF POTENTIAL CUSTOMERS, REPRESENTED BY EDGES OF THE EXAMINED TRANSPORTATION NETWORK. THE SECONDARY OBJECTIVE IS TO MINIMIZE THE TOTAL ROUTE TRAVEL TIME. THE GENERATED ROUTES ARE SUBJECT BOTH TO CAPACITY AND TRAVEL TIME CONSTRAINTS. TO TACKLE THE EXAMINED PROBLEM, WE PROPOSE A LOCAL SEARCH METAHEURISTIC DEVELOPMENT WHICH EXPLORES TWO SOLUTION NEIGHBORHOOD STRUCTURES. THE CONDUCTED SEARCH IS EFFECTIVELY DIVERSIFIED BY MEANS OF THE PROMISES CONCEPT WHICH IS BASED ON THE ASPIRATION CRITERIA USED IN TABU SEARCH APPROACHES. THE PROPOSED ALGORITHM WAS TESTED ON UCARPP BENCHMARK INSTANCES TAKEN FROM THE LITERATURE. IT EFFICIENTLY PRODUCED HIGH-QUALITY RESULTS, IMPROVING SEVERAL PREVIOUSLY BEST KNOWN SOLUTIONS. (C) 2010 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,0,1,0,Capacitated Arc Routing Problem with Profits,Capacitated Arc Routing Problem with Profits,,,
"ARCHETTI C, 2010, COMPUT OPER RES",THE UNDIRECTED CAPACITATED ARC ROUTING PROBLEM WITH PROFITS,"A PROFIT AND A DEMAND ARE ASSOCIATED WITH EACH EDGE OF A SET OF PROFITABLE EDGES OF A GIVEN GRAPH. A TRAVEL TIME IS ASSOCIATED WITH EACH EDGE OF THE GRAPH. A FLEET OF CAPACITATED VEHICLES IS GIVEN TO SERVE THE PROFITABLE EDGES. A MAXIMUM DURATION OF THE ROUTE OF EACH VEHICLE IS ALSO GIVEN. THE PROFIT OF AN EDGE CAN BE COLLECTED BY ONE VEHICLE ONLY THAT ALSO SERVES THE DEMAND OF THE EDGE. THE OBJECTIVE OF THIS PROBLEM, WHICH IS CALLED THE UNDIRECTED CAPACITATED ARC ROUTING PROBLEM WITH PROFITS (UCARPP), IS TO FIND A SET OF ROUTES THAT SATISFY THE CONSTRAINTS ON THE DURATION OF THE ROUTE AND ON THE CAPACITY OF THE VEHICLE AND MAXIMIZE THE TOTAL COLLECTED PROFIT. WE PROPOSE A BRANCH-AND-PRICE ALGORITHM AND SEVERAL HEURISTICS. WE CAN SOLVE EXACTLY INSTANCES WITH UP TO 97 PROFITABLE EDGES. THE BEST HEURISTICS FIND THE OPTIMAL SOLUTION ON MOST OF INSTANCES WHERE IT IS AVAILABLE. (C) 2009 ELSEVIER LTD. ALL RIGHTS RESERVED.",1,1,0,1,Capacitated Arc Routing Problem with Profits,Capacitated Arc Routing Problem with Profits,,,
"ARCHETTI C, 2017, EUR J OPER RES",THE UNDIRECTED CAPACITATED GENERAL ROUTING PROBLEM WITH PROFITS,"IN THIS PAPER WE INTRODUCE AND STUDY THE UNDIRECTED CAPACITATED GENERAL ROUTING PROBLEM WITH PROFITS (UC-GRPP). THIS PROBLEM IS DEFINED ON AN UNDIRECTED GRAPH WHERE A SUBSET OF VERTICES AND EDGES CORRESPOND TO CUSTOMERS, WHICH ARE ASSOCIATED WITH A GIVEN PROFIT AND DEMAND. THE PROFIT OF EACH CUSTOMER CAN BE COLLECTED AT MOST ONCE. A FLEET OF HOMOGENEOUS CAPACITATED VEHICLES IS GIVEN TO SERVE THE CUSTOMERS. THE OBJECTIVE IS TO FIND THE VEHICLE ROUTES THAT MAXIMIZE THE DIFFERENCE BETWEEN THE TOTAL COLLECTED PROFIT AND THE TRAVELING COST IN SUCH A WAY THAT THE DEMAND COLLECTED BY EACH VEHICLE DOES NOT EXCEED THE CAPACITY AND THE TOTAL DURATION OF EACH ROUTE IS NOT GREATER THAN A MAXIMUM GIVEN TIME LIMIT. WE PROPOSE A MATHEMATICAL FORMULATION OF THE PROBLEM AND INTRODUCE VALID INEQUALITIES TO STRENGTHEN THE CORRESPONDING CONTINUOUS RELAXATION. MOREOVER, WE PROVIDE AN AGGREGATE FORMULATION THAT ALLOWS US TO INTRODUCE FURTHER INEQUALITIES. THEN, WE PROPOSE A TWO-PHASE EXACT ALGORITHM FOR THE SOLUTION OF THE UCGRPP. IN THE FIRST PHASE, A BRANCH-AND-CUT ALGORITHM IS USED TO SOLVE THE AGGREGATE FORMULATION AND TO IDENTIFY A CUT POOL OF AGGREGATE VALID INEQUALITIES TO BE USED IN THE SECOND PHASE, WHERE A BRANCH-AND-CUT ALGORITHM IS IMPLEMENTED TO OPTIMALLY SOLVE THE UCGRPP. COMPUTATIONAL RESULTS ON A LARGE SET OF PROBLEM INSTANCES SHOW THAT THE USE OF THE AGGREGATE FORMULATION IS EFFECTIVE, MAKING THE TWO-PHASE EXACT ALGORITHM ABLE TO OPTIMALLY SOLVE A LARGE NUMBER OF INSTANCES. (C) 2016 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,1,0,0,Capacitated Arc Routing Problem with Profits,Capacitated Arc Routing Problem with Profits,,,
"RAMIRO LOPEZ-SANTANA E, 2016, INTELLIGENT COMPUTING THEORIES AND APPLICATION, ICIC 2016, PT II",A HYBRID SCATTER SEARCH ALGORITHM TO SOLVE THE CAPACITATED ARC ROUTING PROBLEM WITH REFILL POINTS,"THIS PAPER PRESENTS A HYBRID SCATTER SEARCH ALGORITHM TO SOLVE THE CAPACITATED ARC ROUTING PROBLEM WITH REFILL POINTS (CARP-RP). THE VEHICLE SERVICING ARCS MUST BE REFILLED ON THE SPOT BY USING A SECOND VEHICLE. THIS PROBLEM IS ADDRESSED IN REAL-WORLD APPLICATIONS IN MANY SERVICES SYSTEMS. THE PROBLEM CONSISTS ON SIMULTANEOUSLY DETERMINING THE VEHICLES ROUTES THAT MINIMIZE THE TOTAL COST. IN THE LITERATURE IS PROPOSED AN INTEGER LINEAR PROGRAMMING MODEL TO SOLVE THE PROBLEM. WE PROPOSE A HYBRID ALGORITHM BASED ON SCATTER SEARCH, SIMULATED ANNEALING AND ITERATED LOCAL SEARCH. OUR METHOD IS TESTED WITH INSTANCES FROM THE LITERATURE. WE FOUND BEST RESULTS IN THE OBJECTIVE FUNCTION FOR THE MAJORITY INSTANCES.",1,1,1,0,Capacitated Arc Routing Problem with Refill Points,Capacitated Arc Routing Problem with Refill Points,,,
"AMAYA A, 2007, OPER RES LETT",THE CAPACITATED ARC ROUTING PROBLEM WITH REFILL POINTS,"THIS ARTICLE INTRODUCES THE CAPACITATED ARC ROUTING PROBLEM WITH REFILL POINTS (CARP-RP). THE VEHICLE SERVICING ARCS MUST BE REFILLED ON THE SPOT BY USING A SECOND VEHICLE. THE PROBLEM CONSISTS ON SIMULTANEOUSLY DETERMINING THE VEHICLES ROUTES THAT MINIMIZE THE TOTAL COST, AN INTEGER LINEAR PROGRAMMING MODEL IS PROPOSED AND TESTED. (C) 2006 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,1,0,0,Capacitated Arc Routing Problem with Refill Points,Capacitated Arc Routing Problem with Refill Points,,,
"AMAYA CA, 2010, J OPER RES SOC",A HEURISTIC METHOD FOR THE CAPACITATED ARC ROUTING PROBLEM WITH REFILL POINTS AND MULTIPLE LOADS,"WE DESCRIBE A SOLUTION PROCEDURE FOR A CAPACITATED ARC ROUTING PROBLEM WITH REFILL POINTS AND MULTIPLE LOADS. THIS PROBLEM STEMS FROM THE ROAD NETWORK MARKING IN QUEBEC, CANADA. TWO DIFFERENT TYPES OF VEHICLES ARE USED: THE FIRST TYPE (CALLED SERVICING VEHICLE-SV) WITH A FINITE CAPACITY TO SERVICE THE ARCS AND THE OTHER (CALLED REFILLING VEHICLE-RV) TO REFILL THE SV VEHICLE. THE RV CAN DELIVER MULTIPLE LOADS, WHICH MEANS THAT IT MEETS THE SV SEVERAL TIMES BEFORE RETURNING TO THE DEPOT. THE PROBLEM CONSISTS OF SIMULTANEOUSLY DETERMINING THE VEHICLE ROUTES THAT MINIMIZE THE TOTAL COST OF THE TWO VEHICLES. WE PRESENT AN INTEGER FORMULATION AND A ROUTE FIRST-CLUSTER SECOND HEURISTIC PROCEDURE. COMPUTATIONAL RESULTS ARE PROVIDED.",1,1,1,0,Capacitated Arc Routing Problem with Refill Points and Multiple-Loads,Capacitated Arc Routing Problem with Refill Points and Multiple-Loads,,,
"FADZLI M, 2015, INTERNATIONAL CONFERENCE ON MATHEMATICS, ENGINEERING AND INDUSTRIAL APPLICATIONS 2014 (ICOMEIA 2014)",CAPACITATED ARC ROUTING PROBLEM AND ITS EXTENSIONS IN WASTE COLLECTION,"CAPACITATED ARC ROUTING PROBLEM (CARP) IS THE YOUNGEST GENERATION OF GRAPH THEORY THAT FOCUSES ON SOLVING THE EDGE/ARC ROUTING FOR OPTIMALITY. SINCE MANY YEARS, OPERATIONAL RESEARCH DEVOTED TO CARP COUNTERPART, KNOWN AS VEHICLE ROUTING PROBLEM (VRP), WHICH DOES NOT FIT TO SEVERAL REAL CASES SUCH LIKE WASTE COLLECTION PROBLEM AND ROAD MAINTENANCE. IN THIS PAPER, WE HIGHLIGHTED SEVERAL EXTENSIONS OF CAPACITATED ARC ROUTING PROBLEM (CARP) THAT REPRESENTS THE REAL-LIFE PROBLEM OF VEHICLE OPERATION IN WASTE COLLECTION. BY PURPOSE, CARP IS DESIGNED TO FIND A SET OF ROUTES FOR VEHICLES THAT SATISFIES ALL PRE-SETTING CONSTRAINTS IN SUCH THAT ALL VEHICLES MUST START AND END AT A DEPOT, SERVICE A SET OF DEMANDS ON EDGES (OR ARCS) EXACTLY ONCE WITHOUT EXCEEDING THE CAPACITY, THUS THE TOTAL FLEET COST IS MINIMIZED. WE ALSO ADDRESSED THE DIFFERENTIATION BETWEEN CARP AND VRP IN WASTE COLLECTION. SEVERAL ISSUES HAVE BEEN DISCUSSED INCLUDING STOCHASTIC DEMANDS AND TIME WINDOW PROBLEMS IN ORDER TO SHOW THE COMPLEXITY AND IMPORTANCE OF CARP IN THE RELATED INDUSTRY. A MATHEMATICAL MODEL OF CARP AND ITS NEW VERSION IS PRESENTED BY CONSIDERING SEVERAL FACTORS SUCH LIKE DELIVERY COST, LATENESS PENALTY AND DELIVERY TIME.",1,1,0,0,Capacitated Arc Routing Problem with Soft Time-Windows,Capacitated Arc Routing Problem with Soft Time-Windows,,And late penalties,
"VANSTEENWEGEN P, 2010, COMPUT OPER RES",SOLVING THE MOBILE MAPPING VAN PROBLEM: A HYBRID METAHEURISTIC FOR CAPACITATED ARC ROUTING WITH SOFT TIME WINDOWS,"CREATING DIGITAL MAPS OFTEN REQUIRES DRIVING AROUND THE STREETS IN A SO-CALLED ``MAPPING VAN''. TELE ATLAS, THE WORLD LEADING SUPPLIER OF",1,0,1,0,Capacitated Arc Routing Problem with Soft Time-Windows,Capacitated Arc Routing Problem with Soft Time-Windows,,,
"CORBERAN A, 2013, MATH PROGRAM",A BRANCH-AND-CUT ALGORITHM FOR THE MAXIMUM BENEFIT CHINESE POSTMAN PROBLEM,"THE MAXIMUM BENEFIT CHINESE POSTMAN PROBLEM (MBCPP) IS AN NP-HARD PROBLEM THAT CONSIDERS SEVERAL BENEFITS ASSOCIATED WITH EACH EDGE, ONE FOR EACH TIME THE EDGE IS TRAVERSED WITH A SERVICE. THE OBJECTIVE IS TO FIND A CLOSED WALK WITH MAXIMUM BENEFIT. WE PROPOSE AN IP FORMULATION FOR THE UNDIRECTED MBCPP AND, BASED ON THE DESCRIPTION OF ITS ASSOCIATED POLYHEDRON, WE PROPOSE A BRANCH-AND-CUT ALGORITHM AND PRESENT COMPUTATIONAL RESULTS ON INSTANCES WITH UP TO 1,000 VERTICES AND 3,000 EDGES.",0,,,,,Capacitated Arc Routing Problem with Stochastic Demand,,,
"CHRISTIANSEN CH, 2009, OPER RES LETT",A BRANCH-AND-PRICE ALGORITHM FOR THE CAPACITATED ARC ROUTING PROBLEM WITH STOCHASTIC DEMANDS,"WE ADDRESS THE CAPACITATED ARC ROUTING PROBLEM WITH STOCHASTIC DEMANDS (CARPSD), WHICH WE FORMULATE AS A SET PARTITIONING PROBLEM. THE CARPSD IS SOLVED BY A BRANCH-AND-PRICE ALGORITHM, WHICH WE APPLY WITHOUT GRAPH TRANSFORMATION. THE DEMAND'S STOCHASTIC NATURE IS INCORPORATED INTO THE PRICING PROBLEM. COMPUTATIONAL RESULTS ARE REPORTED. (C) 2009 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,1,0,0,Capacitated Arc Routing Problem with Stochastic Demand,Capacitated Arc Routing Problem with Stochastic Demand,,,
"GONZALEZ-MARTIN S, 2018, J SIMUL",A SIMHEURISTIC ALGORITHM FOR SOLVING THE ARC ROUTING PROBLEM WITH STOCHASTIC DEMANDS,"THIS PAPER PROPOSES A SIMHEURISTIC ALGORITHM FOR SOLVING THE ARC ROUTING PROBLEM WITH STOCHASTIC DEMANDS. OUR APPROACH COMBINES MONTE CARLO SIMULATION (MCS) WITH THE RANDSHARP METAHEURISTIC, WHICH WAS ORIGINALLY DESIGNED FOR SOLVING THE CAPACITATED ARC ROUTING PROBLEM WITH DETERMINISTIC DEMANDS (CARP). THE RANDSHARP METAHEURISTIC IS A BIASED-RANDOMISED VERSION OF A SAVINGS-BASED HEURISTIC FOR THE CARP, WHICH ALLOWS IT TO OBTAIN COMPETITIVE RESULTS FOR THIS PROBLEM IN LOW COMPUTATIONAL TIMES. THE RANDSHARP IS THEN COMBINED WITH MCS TO COPE WITH THE STOCHASTIC VARIANT OF THE PROBLEM IN A NATURAL AND EFFICIENT WAY. OUR WORK IS BASED ON THE USE OF A SAFETY STOCK DURING THE ROUTE-DESIGN STAGE. THIS SAFETY STOCK CAN THEN BE USED DURING THE DELIVERY STAGE TO SATISFY UNEXPECTED DEMANDS. A RELIABILITY INDEX IS ALSO DEFINED TO EVALUATE THE ROBUSTNESS OF EACH SOLUTION WITH RESPECT TO POSSIBLE ROUTE FAILURES CAUSED BY RANDOM DEMANDS. SOME NUMERICAL EXPERIMENTS CONTRIBUTE TO VALIDATE OUR APPROACH AND TO ILLUSTRATE ITS POTENTIAL BENEFITS.",1,0,1,0,Capacitated Arc Routing Problem with Stochastic Demand,Capacitated Arc Routing Problem with Stochastic Demand,,,
"CERRONE C, 2019, EUR J OPER RES",A TWO-STAGE SOLUTION APPROACH FOR THE DIRECTED RURAL POSTMAN PROBLEM WITH TURN PENALTIES,"IN THIS PAPER, WE CONSIDER THE DIRECTED RURAL POSTMAN PROBLEM WITH TURN PENALTIES (DRPP-TP). A SOLUTION IS A TOUR THAT TRAVERSES ALL REQUIRED ARCS OF THE GRAPH. THE TOTAL COST OF THE TOUR IS THE SUM OF THE LENGTHS OF THE TRAVERSED ARCS PLUS THE PENALTIES ASSOCIATED WITH THE TURNS. ONE SOLUTION APPROACH INVOLVES TRANSFORMING THE ARC ROUTING PROBLEM INTO AN EQUIVALENT NODE ROUTING PROBLEM. AN ALTERNATIVE DIRECT APPROACH (WITHOUT GRAPH TRANSFORMATION) THAT INVOLVES TWO STAGES HAS BEEN PROPOSED IN THE LITERATURE. IN THE FIRST PART OF THIS PAPER, WE INVESTIGATE THE APPLICABILITY OF THE DIRECT APPROACH. WE IDENTIFY SEVERAL CHARACTERISTICS OF THE INPUT INSTANCE THAT MAKE THIS APPROACH EFFECTIVE AND PRESENT SEVERAL LIMITATIONS OF THIS APPROACH. IN THE SECOND PART OF THIS PAPER, WE DESCRIBE AN INTEGER LINEAR PROGRAM THAT IS COMBINED WITH A LOCAL SEARCH ALGORITHM. THIS COMBINATION PRODUCES HIGH-QUALITY SOLUTIONS TO THE DRPP-TP IN A REASONABLE AMOUNT OF COMPUTING TIME. (C) 2018 PUBLISHED BY ELSEVIER B.V.",0,,,,,Capacitated Arc Routing Problem with Stochastic Demand,,,
"LAPORTE G, 2010, TRANSP SCI",AN ADAPTIVE LARGE NEIGHBOURHOOD SEARCH HEURISTIC FOR THE CAPACITATED ARC-ROUTING PROBLEM WITH STOCHASTIC DEMANDS,THE CAPACITATED ARC-ROUTING PROBLEM WITH STOCHASTIC DEMANDS (CARPSD) IS AN EXTENSION OF THE WELL-KNOWN CAPACITATED ARC-ROUTING PROBLEM (CARP) IN WHICH DEMANDS ARE STOCHASTIC. THIS LEADS TO THE POSSIBILITY OF ROUTE FAILURES WHENEVER THE REALIZED DEMAND EXCEEDS THE VEHICLE CAPACITY. THIS PAPER PRESENTS THE CARPSD IN THE CONTEXT OF GARBAGE COLLECTION. IT DESCRIBES AN ADAPTIVE LARGE-SCALE NEIGHBOURHOOD SEARCH HEURISTIC FOR THE PROBLEM. COMPUTATIONAL RESULTS SHOW THE SUPERIORITY OF THIS ALGORITHM OVER AN ALTERNATIVE SOLUTION APPROACH.,1,0,1,0,Capacitated Arc Routing Problem with Stochastic Demand,Capacitated Arc Routing Problem with Stochastic Demand,,,
"WANG J, 2016, IEEE TRANS EVOL COMPUT",ESTIMATION OF THE DISTRIBUTION ALGORITHM WITH A STOCHASTIC LOCAL SEARCH FOR UNCERTAIN CAPACITATED ARC ROUTING PROBLEMS,"THE UNCERTAIN CAPACITATED ARC ROUTING PROBLEM IS A CHALLENGING PROBLEM IN WHICH THE DEMANDS OF TASKS, THE COSTS OF EDGES, AND THE PRESENCE OF TASKS AND EDGES ARE UNCERTAIN. THE OBJECTIVE OF THIS PROBLEM IS TO FIND A ROBUST OPTIMAL SOLUTION FOR A FINITE SET OF POSSIBLE SCENARIOS. IN THIS PAPER, WE PROPOSE A NOVEL ROBUST OPTIMIZATION APPROACH, CALLED AN ESTIMATION OF DISTRIBUTION ALGORITHM (EDA) WITH STOCHASTIC LOCAL SEARCH (SLS), TO TACKLE THIS PROBLEM. THE PROPOSED METHOD INTEGRATES AN EDA WITH A NOVEL TWO PHASE SLS PROCEDURE TO MINIMIZE THE MAXIMAL TOTAL COST OVER A SET OF DIFFERENT SCENARIOS. THE SLS PROCEDURE AVOIDS EXCESSIVE FITNESS EVALUATIONS OF UNPROMISING MOVES IN LOCAL SEARCH. OUR EXPERIMENTAL RESULTS ON TWO SETS OF BENCHMARK PROBLEMS (A TOTAL OF 55 PROBLEM INSTANCES) SHOWED THAT THE PROPOSED APPROACH OUTPERFORMED EXISTING STATE-OF-THE-ART ALGORITHMS.",1,0,1,0,Capacitated Arc Routing Problem with Stochastic Demand and Task Uncertainty,Capacitated Arc Routing Problem with Stochastic Demand,,,
"FLEURY G, 2004, APPLICATIONS OF EVOLUTIONARY COMPUTING",EVOLUTIONARY ALGORITHMS FOR STOCHASTIC ARC ROUTING PROBLEMS,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) IS A COMBINATORIAL OPTIMIZATION PROBLEM IN WHICH VEHICLES WITH LIMITED CAPACITY MUST TREAT A SET OF ARCS IN A NETWORK, TO MINIMIZE THE TOTAL COST OF THE TRIPS. THE SCARP IS A STOCHASTIC VERSION WITH RANDOM DEMANDS ON THE ARCS. THE MANAGEMENT RULES USED FOR INSTANCE IN WASTE COLLECTION ENABLE TO DERIVE MATHEMATICAL EXPRESSIONS FOR OBJECTIVES LIKE THE EXPECTED TOTAL COST. A MEMETIC ALGORITHM (MA) FOR THE SCARP IS PROPOSED AND COMPARED WITH TWO DETERMINISTIC VERSIONS BASED ON AVERAGE DEMANDS. ALL SOLUTIONS ARE EVALUATED BY SIMULATION, TO SEE HOW THEY ARE AFFECTED BY RANDOM FLUCTUATIONS OF DEMANDS. THIS EVALUATION CONFIRMS THE EXPECTED COST COMPUTED BY THE MA AND SHOWS ITS ABILITY TO PROVIDE ROBUST SOLUTIONS, WITHOUT SIGNIFICANT ENLARGEMENT OF THE COST OF PLANNED TRIPS.",1,0,1,1,Capacitated Arc Routing Problem with Stochastic Demand,Capacitated Arc Routing Problem with Stochastic Demand,,,
"FLEURY G, 2005, J OPER RES SOC",IMPROVING ROBUSTNESS OF SOLUTIONS TO ARC ROUTING PROBLEMS,"THIS PAPER CONSIDERS THE STOCHASTIC CAPACITATED ARC ROUTING PROBLEM (SCARP), OBTAINED BY TAKING RANDOM DEMANDS IN THE CARP. FOR REAL-WORLD PROBLEMS, IT IS IMPORTANT TO CREATE SOLUTIONS THAT ARE INSENSITIVE TO CHANGES IN DEMAND, BECAUSE THESE QUANTITIES ARE NOT DETERMINISTIC BUT RANDOMLY DISTRIBUTED. THIS PAPER PROVIDES THE BASIC CONCEPT OF A NEW TECHNIQUE TO COMPUTE SUCH SOLUTIONS, BASED UPON THE BEST METHOD PUBLISHED FOR CARP: A HYBRID GENETIC ALGORITHM (HGA). THE SIMULATION ANALYSIS WAS ACHIEVED WITH THE WELL-KNOWN DEARMON'S, EGLESE'S AND BELENGUER'S INSTANCES. THIS INTENSIVE EVALUATION PROCESS WAS CARRIED OUT WITH 1000 REPLICATIONS PROVIDING HIGH-QUALITY STATISTICAL DATA. THE RESULTS OBTAINED PROVE THAT THERE IS A GREAT INTEREST TO OPTIMIZE NOT ONLY THE SOLUTION COST BUT ALSO THE ROBUSTNESS OF SOLUTIONS. THIS WORK IS A STEP FORWARD TO TREAT MORE REALISTIC PROBLEMS INCLUDING INDUSTRIAL GOALS AND CONSTRAINTS LINKED TO DEMAND VARIATIONS.",1,0,1,1,Capacitated Arc Routing Problem with Stochastic Demand,Capacitated Arc Routing Problem with Stochastic Demand,,,
"GONZALEZ S, 2012, 2012 WINTER SIMULATION CONFERENCE (WSC)",SIM-RANDSHARP: A HYBRID ALGORITHM FOR SOLVING THE ARC ROUTING PROBLEM WITH STOCHASTIC DEMANDS,"THIS PAPER PROPOSES A NEW HYBRID ALGORITHM FOR SOLVING THE ARC ROUTING PROBLEM WITH STOCHASTIC DEMANDS (ARPSD). OUR APPROACH COMBINES MONTE CARLO SIMULATION (MCS) WITH THE RANDSHARP ALGORITHM, WHICH IS DESIGNED FOR SOLVING THE CAPACITATED ARC ROUTING PROBLEM (CARP) WITH DETERMINISTIC DEMANDS. THE RANDSHARP ALGORITHM MAKES USE OF A CARP-ADAPTED VERSION OF THE CLARKE AND WRIGHT SAVINGS HEURISTIC, WHICH WAS ORIGINALLY DESIGNED FOR THE VEHICLE ROUTING PROBLEM. THE RANDSHARP ALGORITHM ALSO INTEGRATES A BIASED-RANDOMIZED PROCESS, WHICH ALLOWS IT TO OBTAIN COMPETITIVE RESULTS FOR THE CARP IN LOW COMPUTATIONAL TIMES. THE RANDSHARP ALGORITHM IS THEN COMBINED WITH MCS TO SOLVE THE ARPSD. SOME NUMERICAL EXPERIMENTS CONTRIBUTE TO ILLUSTRATE THE POTENTIAL BENEFITS OF OUR APPROACH.",1,0,1,0,Capacitated Arc Routing Problem with Stochastic Demand,Capacitated Arc Routing Problem with Stochastic Demand,,,
"MEI Y, 2010, 2010 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)",CAPACITATED ARC ROUTING PROBLEM IN UNCERTAIN ENVIRONMENTS,"IN THIS PAPER, THE UNCERTAIN CARP (UCARP) IS INVESTIGATED. IN UCARP, THE DEMANDS OF TASKS AND THE DEADHEADING COSTS OF EDGES ARE STOCHASTIC AND ONE HAS TO DESIGN A ROBUST SOLUTION FOR ALL POSSIBLE ENVIRONMENTS. A PROBLEM MODEL AND A ROBUSTNESS MEASURE FOR SOLUTIONS ARE DEFINED ACCORDING TO THE REQUIREMENTS IN REALITY. THREE BENCHMARK SETS WITH UNCERTAIN PARAMETERS ARE GENERATED BY EXTENDING EXISTING BENCHMARK SETS FOR STATIC CASES. IN ORDER TO EXPLORE THE SOLUTION SPACE OF UCARP, THE MOST COMPETITIVE ALGORITHMS FOR STATIC CARP ARE TESTED ON ONE OF THE GENERATED UNCERTAIN BENCHMARK SETS. THE EXPERIMENTAL RESULTS SHOWED THAT THE OPTIMAL SOLUTION IN TERMS OF ROBUSTNESS IN UNCERTAIN ENVIRONMENT MAY BE FAR AWAY FROM THE OPTIMAL ONE IN TERMS OF QUALITY IN A STATIC ENVIRONMENT AND THUS, UTILIZING ONLY THE EXPECTED VALUE OF THE RANDOM VARIABLES CAN HARDLY LEAD TO ROBUST SOLUTIONS.",1,1,1,0,Capacitated Arc Routing Problem with Uncertain and Stochastic Demand and Deadheading Cost,Capacitated Arc Routing Problem with Stochastic Demand and Travel Cost,0,,
"CHEN L, 2014, TRANSP RES PT E-LOGIST TRANSP REV",OPTIMIZING ROAD NETWORK DAILY MAINTENANCE OPERATIONS WITH STOCHASTIC SERVICE AND TRAVEL TIMES,THIS PAPER STUDIES OPTIMIZATION METHODS FOR A ROUTING PROBLEM ENCOUNTERED IN DAILY MAINTENANCE OPERATIONS OF A ROAD NETWORK. STOCHASTIC SERVICE AND TRAVEL TIMES ON ROAD SEGMENTS ARE CONSIDERED. THE PROBLEM IS FORMULATED AS A VARIATION OF THE CAPACITATED ARC ROUTING PROBLEM (CARP). A CHANCE-CONSTRAINED PROGRAMMING MODEL IS FIRSTLY DEVELOPED AND SOLVED BY A BRANCH-AND-CUT ALGORITHM. A STOCHASTIC PROGRAMMING MODEL WITH RECOURSE IS ALSO PROPOSED TO TAKE INTO ACCOUNT THE RECOURSE COSTS IN CASE OF ROUTE FAILURE. THE PROBLEM IS SOLVED BY AN ADAPTIVE LARGE NEIGHBORHOOD SEARCH ALGORITHM. THE COMPUTATIONAL EXPERIMENTS DEMONSTRATE THE EFFECTIVENESS OF THE ALGORITHM. (C) 2014 ELSEVIER LTD. ALL RIGHTS RESERVED.,1,1,1,0,Capacitated Arc Routing Problem with Stochastic Service and Deadheading Costs,Capacitated Arc Routing Problem with Stochastic Travel Costs,,,
"TAGMOUTI M, 2010, COMPUT IND ENG",A VARIABLE NEIGHBORHOOD DESCENT HEURISTIC FOR ARC ROUTING PROBLEMS WITH TIME-DEPENDENT SERVICE COSTS,THIS PAPER PROPOSES A VARIABLE NEIGHBORHOOD DESCENT HEURISTIC FOR SOLVING A CAPACITATED ARC ROUTING PROBLEM WITH TIME-DEPENDENT SERVICE COSTS. THE PROBLEM IS MOTIVATED BY WINTER GRITTING APPLICATIONS WHERE THE TIMING OF EACH INTERVENTION IS CRUCIAL. THE VARIABLE NEIGHBORHOOD DESCENT IS BASED ON NEIGHBORHOOD STRUCTURES THAT MANIPULATE ARCS OR SEQUENCES OF ARCS. COMPUTATIONAL RESULTS ARE REPORTED ON PROBLEMS DERIVED FROM CLASSICAL CAPACITATED ARC ROUTING PROBLEM INSTANCES. A COMPARISON IS ALSO PROVIDED WITH AN ALTERNATIVE APPROACH WHERE THE ARC ROUTING PROBLEM IS SOLVED AFTER BEING TRANSFORMED INTO AN EQUIVALENT NODE ROUTING PROBLEM. (C) 2010 ELSEVIER LTD. ALL RIGHTS RESERVED.,1,0,1,0,Capacitated Arc Routing Problem with Time-Dependent Service Cost,Capacitated Arc Routing Problem with Time-Dependent Travel Costs,,,
