PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Ghiani, G; Improta, G; Laporte, G				Ghiani, G; Improta, G; Laporte, G			The capacitated arc routing problem with intermediate facilities	NETWORKS																	GHIANI, Gianpaolo/0000-0002-5243-1799												0028-3045					MAY	2001	37	3					134	143		10.1002/net.3								WOS:000168143000003						
J	Clossey, J; Laporte, G; Soriano, P				Clossey, J; Laporte, G; Soriano, P			Solving arc routing problems with turn penalties	JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY																													0160-5682	1476-9360				APR	2001	52	4					433	439		10.1057/palgrave.jors.2601052								WOS:000167631800007						
S	Lacomme, P; Prins, C; Ramdane-Cherif, W		Boers, EJW		Lacomme, P; Prins, C; Ramdane-Cherif, W			A genetic algorithm for the capacitated arc routing problem and its extensions	APPLICATIONS OF EVOLUTIONARY COMPUTING, PROCEEDINGS	LECTURE NOTES IN COMPUTER SCIENCE				EvoWorkshops 2000	APR 18-20, 2001	COMO, ITALY	EvoNet, Network Excellence Evolut Comp								Philippe, Lacomme PL/I-8459-2016	Philippe, Lacomme PL/0000-0001-6328-9479												0302-9743		3-540-41920-9				2001	2037						473	483										WOS:000174203500049						
B	Arkin, EM; Bender, MA; Demaine, ED; Fekete, SP; Mitchell, JSB; Sethia, S			SIAM; SIAM; SIAM	Arkin, EM; Bender, MA; Demaine, ED; Fekete, SP; Mitchell, JSB; Sethia, S			Optimal covering tours with turn costs	PROCEEDINGS OF THE TWELFTH ANNUAL ACM-SIAM SYMPOSIUM ON DISCRETE ALGORITHMS	SIAM Proceedings Series				12th Annual ACM-SIAM Symposium on Discrete Algorithms	JAN 07-09, 2001	WASHINGTON, DC	ACM SIGACT, SIAM Act Grp Discrete Math																							0-89871-490-7				2001							138	147										WOS:000177257800020						
B	Lacomme, P; Prins, C; Ramdane-Cherif, W		Giambiasi, N; Frydman, C		Lacomme, P; Prins, C; Ramdane-Cherif, W			An integer linear model for general arc routing problems	SIMULATION IN INDUSTRY 2001					13th European Simulation Symposium	OCT 18-20, 2001	MARSEILLE, FRANCE	Soc Comp Simulat, Soc Modeling & Simulat Int, ASIM, DIAM IUSPIM, Chinese Assoc Syst Simulat, Czech & Slovak Simulat Soc, European Simulat Council, Federat European Simulat Soc, Hungarian Simulat Soc, Japan Soc Simulat Technol, Latvian Simulat Soc, Turkish Simulat Soc								Philippe, Lacomme PL/I-8459-2016	Philippe, Lacomme PL/0000-0001-6328-9479														90-77039-02-3				2001							427	431										WOS:000174740600080						
S	Haghani, A; Qiao, HY			TRB	Haghani, A; Qiao, HY			Decision support system for snow emergency vehicle routing - Algorithms and application	TRANSPORTATION NETWORK MODELING 2001: PLANNING AND ADMINIATRATION	TRANSPORTATION RESEARCH RECORD				80th Annual Meeting of the Transportation-Research-Board	JAN, 2001	WASHINGTON, D.C.	Transportat Res Board																					0361-1981		0-309-07229-8				2001		1771					172	178										WOS:000176595300022						
J	Amberg, A; Domschke, W; Voss, S				Amberg, A; Domschke, W; Voss, S			Multiple center capacitated arc routing problems: A tabu search algorithm using capacitated trees	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH																VoSS, Stefan/K-6655-2019	VoSS, Stefan/0000-0003-1296-4221												0377-2217	1872-6860				JUL 16	2000	124	2					360	376		10.1016/S0377-2217(99)00170-8								WOS:000087269900013						
J	Ghiani, G; Laporte, G				Ghiani, G; Laporte, G			A branch-and-cut algorithm for the Undirected Rural Postman Problem	MATHEMATICAL PROGRAMMING																	GHIANI, Gianpaolo/0000-0002-5243-1799												0025-5610					MAY	2000	87	3					467	481		10.1007/s101070050007								WOS:000087422900007						
J	Grunert, T; Sebastian, HJ				Grunert, T; Sebastian, HJ			Planning models for long-haul operations of postal and express shipment companies	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH																													0377-2217					APR 16	2000	122	2					289	309		10.1016/S0377-2217(99)00234-9								WOS:000085436800009						
J	Ghiani, G; Improta, G				Ghiani, G; Improta, G			An efficient transformation of the generalized vehicle routing problem	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH																	GHIANI, Gianpaolo/0000-0002-5243-1799												0377-2217					APR 1	2000	122	1					11	17		10.1016/S0377-2217(99)00073-9								WOS:000085188900002						
J	Corberan, A; Marti, R; Romero, A				Corberan, A; Marti, R; Romero, A			Heuristics for the mixed Rural Postman Problem	COMPUTERS & OPERATIONS RESEARCH																Marti, Rafael/K-4732-2014; Corberan, Angel/K-2435-2014	Marti, Rafael/0000-0001-7265-823X; Corberan, Angel/0000-0002-0664-4232												0305-0548	1873-765X				FEB	2000	27	2					183	203		10.1016/S0305-0548(99)00031-3								WOS:000084433000006						
J	Ghiani, G; Improta, G				Ghiani, G; Improta, G			An algorithm for the hierarchical Chinese postman problem	OPERATIONS RESEARCH LETTERS																	GHIANI, Gianpaolo/0000-0002-5243-1799												0167-6377	1872-7468				FEB	2000	26	1					27	32		10.1016/S0167-6377(99)00046-2								WOS:000084919200005						
J	Hertz, A; Laporte, G; Mittaz, M				Hertz, A; Laporte, G; Mittaz, M			A tabu search heuristic for the capacitated arc routing problem	OPERATIONS RESEARCH																													0030-364X					JAN-FEB	2000	48	1					129	135		10.1287/opre.48.1.129.12455								WOS:000086464300012						
